Press Release Identifier,Headline,Subhead,Date,url,Press Release,Year
2018 | Entry No. 1,Attorney General Lori Swanson Files Lawsuit Against Pharmaceutical Companies Over Deceptive Price Spikes For Insulin,Price Hikes More Than Doubled the Cost Of Diabetes Medication,16-Oct-18,https://www.ag.state.mn.us/Office/Communications/2018/10/16_InsulinPriceHikes.asp,https://www.ag.state.mn.us/Office/Communications/2018/10/16_InsulinPriceHikes.asp,2018
2018 | Entry No. 2,Attorney General’s Working Group on Sexual Assault Releases Report and Recommendations,No description available.,16-Dec-18,https://www.ag.state.mn.us/Office/Communications/2018/12/SexualAssaultTaskForceReport.pdf,https://www.ag.state.mn.us/Office/Communications/2018/12/SexualAssaultTaskForceReport.pdf,2018
2018 | Entry No. 3,"Attorney General Lori Swanson Sues Comcast/Xfinity for Charging More Than Promised, Charging for Unordered Products, and Not Delivering Promised Promotional Prepaid Visa Cards",No description available.,21-Dec-18,https://www.ag.state.mn.us/Office/Communications/2018/12/21_ComcastXfinity.asp,https://www.ag.state.mn.us/Office/Communications/2018/12/21_ComcastXfinity.asp,2018
2019 | Entry No. 4,Keith Ellison sworn in as Attorney General: “My job as the People’s Lawyer is to help Minnesotans afford their lives and live with dignity and respect”,"In inaugural remarks, AG Ellison adds, “The Minnesota Attorney General’s Office will be a place where everybody counts and everybody matters.”",7-Jan-19,https://www.ag.state.mn.us/Office/Communications/2019/01/07_Inauguration.asp,https://www.ag.state.mn.us/Office/Communications/2019/01/07_Inauguration.asp,2019
2019 | Entry No. 5,Attorney General Ellison’s office off to busy start helping people afford their lives and live with dignity,"In just two days, Ellison promises action to protect Minnesotans during federal government shutdown; AGO prevails in cases blocking federal government from adding citizenship question to 2020 Census and from limiting access to reproductive healthcare; Ellison moves to defend Indian children, culture, and sovereignty",15-Jan-19,https://www.ag.state.mn.us/Office/Communications/2019/01/15_BusyStart.asp,https://www.ag.state.mn.us/Office/Communications/2019/01/15_BusyStart.asp,2019
2019 | Entry No. 6,"Attorney General Ellison: ‘The fight against discrimination is the fight for a fair, equal economy’","On MLK holiday, Ellison recalls Dr. King’s question from Greensboro sit-ins: ‘What good is having the right to sit at a lunch counter if you can’t afford to buy a hamburger?’",21-Jan-19,https://www.ag.state.mn.us/Office/Communications/2019/01/21_MLKStatement.asp,https://www.ag.state.mn.us/Office/Communications/2019/01/21_MLKStatement.asp,2019
2019 | Entry No. 7,"Attorney General Ellison’s office settles three multistate healthcare-related fraud and deceptive-marketing cases, recoups $3.1M for Minnesota",Settles with Walgreens in two Medicaid fraud cases and with J&amp;J over deceptive marketing of hip implants,23-Jan-19,https://www.ag.state.mn.us/Office/Communications/2019/01/23_Settlement.asp,https://www.ag.state.mn.us/Office/Communications/2019/01/23_Settlement.asp,2019
2019 | Entry No. 8,Attorney General Ellison names Solicitor General and Government Affairs Director,Liz Kramer to serve as Solicitor General and former State Rep. Carly Melin as Government Affairs Director on staff team helping Minnesotans afford their lives and live with dignity,31-Jan-19,https://www.ag.state.mn.us/Office/Communications/2019/01/31_HiringAnnouncement.asp,https://www.ag.state.mn.us/Office/Communications/2019/01/31_HiringAnnouncement.asp,2019
2019 | Entry No. 9,Attorney General Ellison’s office wins largest Medicaid fraud case in Minnesota state court history,"Wins convictions of two people for $7.7 million in fraud against State, including one previously convicted of Medicaid fraud",8-Feb-19,https://www.ag.state.mn.us/Office/Communications/2019/02/08_MedicaidFraudCase.asp,https://www.ag.state.mn.us/Office/Communications/2019/02/08_MedicaidFraudCase.asp,2019
2019 | Entry No. 10,Attorney General Ellison joins effort to defend immigrant holders of Temporary Protected Status,Joins coalition of 22 attorneys general in supporting preliminary injunction to block DHS from deporting immigrants to home countries with dangerous or harmful conditions,11-Feb-19,https://www.ag.state.mn.us/Office/Communications/2019/02/11_TemporaryProtectedStatus.asp,https://www.ag.state.mn.us/Office/Communications/2019/02/11_TemporaryProtectedStatus.asp,2019
2019 | Entry No. 11,Attorney General Ellison: “The President is harming the people of Minnesota... I cannot allow him to do that.”,Minnesota joins multistate lawsuit to stop Trump administration from illegally and unconstitutionally diverting federal funds to build border wall,18-Feb-19,https://www.ag.state.mn.us/Office/Communications/2019/02/18_BorderWallLawsuit.asp,https://www.ag.state.mn.us/Office/Communications/2019/02/18_BorderWallLawsuit.asp,2019
2019 | Entry No. 12,Attorney General Ellison: ‘Governor Walz’s budget delivers on the promise of One Minnesota’,Governor’s support of Attorney General’s Office will also ‘help people afford their lives and live with dignity and respect’,19-Feb-19,https://www.ag.state.mn.us/Office/Communications/2019/02/19_GovernorWalzBudget.asp,https://www.ag.state.mn.us/Office/Communications/2019/02/19_GovernorWalzBudget.asp,2019
2019 | Entry No. 13,Attorney General Ellison starts task force for lowering the cost of pharmaceutical drugs,Ellison: Minnesotans are ‘united in one simple idea: they’re entitled to afford their lives — and drug prices are too high’,21-Feb-19,https://www.ag.state.mn.us/Office/Communications/2019/02/21_PrescriptionDrugPricingTaskForce.asp,https://www.ag.state.mn.us/Office/Communications/2019/02/21_PrescriptionDrugPricingTaskForce.asp,2019
2019 | Entry No. 14,"Attorney General Ellison: ‘Transgender kids, like everyone, deserve to live with dignity and respect’",Minnesota Attorney General’s office joins multistate amicus brief in favor of transgender student who was wrongly denied use of school bathroom that fits his gender identity,1-Mar-19,https://www.ag.state.mn.us/Office/Communications/2019/03/01_TransgenderAmicusBrief.asp,https://www.ag.state.mn.us/Office/Communications/2019/03/01_TransgenderAmicusBrief.asp,2019
2019 | Entry No. 15,Attorney General Ellison Announces Launch of Wells Fargo Consumer Redress Review Program,$575 million nationwide settlement requires Wells Fargo to make any remaining Minnesota victims whole,1-Mar-19,https://www.ag.state.mn.us/Office/Communications/2019/03/01_WellsFargoConsumerRedress.asp,https://www.ag.state.mn.us/Office/Communications/2019/03/01_WellsFargoConsumerRedress.asp,2019
